edo,201905,201904,201903,201902,201901,201812,201811,201810,201809,201808,201807,201806
AGUASCALIENTES,3.8,3.74,3.66,3.49,3.71,3.67,3.73,3.83,3.63,3.55,3.69,3.94
BAJA CALIFORNIA NORTE,5.73,5.88,5.86,5.97,6.54,6.8,7.24,7.48,7,6.94,7.19,7.77
BAJA CALIFORNIA SUR,7.69,7.91,7.91,8.09,8.6,8.88,8.92,9.34,8.81,8.77,8.96,9.92
CAMPECHE,7,6.98,7.23,7.29,7.49,7.78,7.63,7.61,7.37,7.52,7.68,7.18
COAHUILA,5.37,5.34,5.33,5.37,5.71,5.63,5.89,5.82,5.22,5.05,5.25,5.46
COLIMA,5.82,5.91,5.61,5.32,5.73,5.79,6.14,6.13,5.42,5.4,5.4,5.63
CHIAPAS,7.02,6.91,6.77,6.67,6.94,7.03,7.26,7.44,7.04,6.99,7.01,7.43
CHIHUAHUA,5.25,5.34,5.2,5.34,5.88,5.86,6.12,6.35,5.64,5.61,5.67,6.18
DISTRITO FEDERAL,3.3,3.32,3.3,3.25,3.47,3.46,3.44,3.44,3.24,3.27,3.33,3.41
DURANGO,5.56,5.62,5.64,5.62,5.88,5.66,5.86,5.76,5.31,5.48,5.36,5.49
GUANAJUATO,4.42,4.48,4.32,4.24,4.59,4.51,4.73,4.83,4.23,4.14,4.28,4.74
GUERRERO,9.01,8.98,8.58,8.43,8.65,8.61,8.84,8.95,8.42,8.51,8.58,8.57
HIDALGO,7.14,6.94,6.8,6.66,6.99,7.07,7.15,7.26,6.73,6.63,6.68,6.93
JALISCO,5.24,5.32,5.14,5.1,5.37,5.35,5.51,5.64,5.2,5.23,5.34,5.71
MEXICO,7.18,7.19,7.17,7.15,7.33,7.38,7.52,7.65,7.17,7.13,7.31,7.58
MICHOACAN,5.08,4.91,4.64,4.71,4.8,4.7,4.86,4.85,4.45,4.55,4.59,4.91
MORELOS,6.64,6.67,6.47,6.16,6.19,6.13,6.05,6,5.63,5.61,5.5,5.7
NAYARIT,5.14,5.06,5,5.06,5.65,5.79,5.91,6.1,5.45,5.55,5.69,5.87
NUEVO LEON,4.29,4.35,4.27,4.34,4.78,4.85,5.15,5.34,4.78,4.72,4.86,5.23
OAXACA,5.14,5.3,5.23,5.26,5.77,6.07,6.62,6.98,6.22,6.08,5.98,6.39
PUEBLA,5.51,5.58,5.36,5.39,5.75,5.73,5.95,6.05,5.43,5.38,5.58,5.68
QUERETARO,4.52,4.59,4.57,4.61,4.89,4.8,4.96,4.95,4.6,4.61,4.68,4.66
QUINTANA ROO,6,5.99,5.78,5.78,5.95,6.06,6.34,6.52,6.03,6.09,6.32,6.86
SAN LUIS POTOSI,4.79,4.8,4.68,4.63,4.87,4.95,5.24,5.26,4.54,4.57,4.62,5.18
SINALOA,5.39,5.6,5.51,5.62,6.1,6.14,6.36,6.64,5.9,5.82,5.79,6.38
SONORA,6.48,6.66,6.57,6.52,7.1,7.2,7.39,7.56,6.5,6.46,6.49,6.92
TABASCO,7.04,7.08,7.06,7.16,7.46,7.53,7.6,7.66,7.46,7.56,7.45,7.79
TAMAULIPAS,8.56,8.59,8.44,8.51,8.83,9.06,9.39,9.6,8.64,8.5,8.47,8.88
TLAXCALA,7.72,7.24,7.29,7.2,7.25,6.81,6.75,7.5,7.26,7.11,6.98,7.61
VERACRUZ,7.86,7.87,7.76,7.73,7.95,7.89,8.2,8.43,7.87,7.92,7.92,8.06
YUCATAN,4.33,4.42,4.32,4.38,4.67,4.77,4.9,5.07,4.61,4.56,4.7,4.83
ZACATECAS,3.1,3.02,3.11,3.11,3.13,3.18,3.4,3.4,3.38,3.2,3.36,3.6
,,,,,,,,,,,,
