periodo,institucion,num_total,num_vigente,num_vencida,sdo_total,sdo_vigente,sdo_vencido
201905,BBVA,301448,291944,9504,204014539,197789091,6225448
201904,BBVA,300504,290999,9505,201796632,195593847,6202785
201903,BBVA,299980,291623,8357,200486990,194968556,5518433
201902,BBVA,298869,289636,9233,198194871,192212966,5981905
201901,BBVA,298869,289636,9233,198194871,192212966,5981905
201812,BBVA,298135,288902,9233,194593012,188874438,5718574
201811,BBVA,297885,288521,9364,193111196,187327592,5783605
201810,BBVA,297273,288174,9099,191460075,185847137,5612938
201809,BBVA,297606,288887,8719,190336865,184952667,5384198
201808,BBVA,296878,287112,9766,188540135,182631116,5909019
201807,BBVA,296622,286739,9883,187441546,181500822,5940724
201806,BBVA,296800,288029,8771,186721942,181402036,5319906
201905,BM,959135,933013,26122,714237653,696229661,18007992
201904,BM,959026,933375,25651,707489551,689945414,17544137
201903,BM,957125,932543,24582,703712784,686798390,16914394
201902,BM,951060,925850,25210,696215291,678919466,17295825
201901,BM,949904,924909,24995,691848673,675124057,16724616
201812,BM,950617,925687,24930,687653559,671055553,16598006
201811,BM,946441,921809,24632,680248220,663947436,16300785
201810,BM,944907,921214,23693,674830374,659021692,15808682
201809,BM,943252,919643,23609,670732825,654994848,15737977
201808,BM,940257,915928,24329,663616356,647575620,16040735
201807,BM,938875,914241,24634,659786785,643580045,16206740
201806,BM,936861,913708,23153,654570915,639165974,15404941
